"scientificName","taxonKey","rank","taxonomicStatus","kingdom","includes","gbifKey"
"Lonicera purpusii",NA,NA,NA,NA,NA,152546281
"Lonicera sempervirens",5334239,"SPECIES","ACCEPTED","Plantae","5334239: Lonicera sempervirens L.",152546287
"Lonicera tatarica",5334242,"SPECIES","ACCEPTED","Plantae","5334242: Lonicera tatarica L.",152546289
"Lonicera ×italica",8325800,"SPECIES","ACCEPTED","Plantae","8325800: Lonicera ×italica Tausch",NA
"Lonicera ×purpusii",5598839,"SPECIES","ACCEPTED","Plantae","5598839: Lonicera ×purpusii Rehder",NA
"Lopezia racemosa",7161168,"SPECIES","ACCEPTED","Plantae","3664517: Lopezia coronata Andr.",152543413
"Lophocolea semiteres",6096602,"SPECIES","ACCEPTED","Plantae","6096602: Lophocolea semiteres (Lehm.) Mitt.",152543236
"Lophodytes cucullatus",2498408,"SPECIES","ACCEPTED","Animalia","2498408: Lophodytes cucullatus (Linnaeus, 1758)",159747094
"Lophura leucomelanos",5227993,"SPECIES","ACCEPTED","Animalia","5227993: Lophura leucomelanos (Latham, 1790)",159747534
"Lophura nycthemera",5227966,"SPECIES","ACCEPTED","Animalia","5227966: Lophura nycthemera (Linnaeus, 1758)",159747533
"Lotus angustissimus",5356931,"SPECIES","ACCEPTED","Plantae","5356931: Lotus angustissimus L.",NA
"Lotus hispidus",5356955,"SPECIES","ACCEPTED","Plantae","5356955: Lotus hispidus Desf. ex DC.",NA
"Lotus maritimus",5356973,"SPECIES","ACCEPTED","Plantae","2963137: Tetragonolobus maritimus (L.) Roth | 5356973: Lotus maritimus L.",152545046
"Lotus tetragonolobus",5356862,"SPECIES","ACCEPTED","Plantae","5356862: Lotus tetragonolobus L.",152545047
"Ludwigia grandiflora",5421039,"SPECIES","ACCEPTED","Plantae","5421039: Ludwigia grandiflora (Michx.) Greuter & Burdet",152543429
"Ludwigia grandiflora hexapetala",NA,NA,NA,NA,NA,159748038
"Ludwigia peploides",5420991,"SPECIES","ACCEPTED","Plantae","5420991: Ludwigia peploides (Kunth) P.H.Raven",152543431
"Ludwigia peploides montevidensis",NA,NA,NA,NA,NA,152543427
"Lunaria annua",5373324,"SPECIES","ACCEPTED","Plantae","5373324: Lunaria annua L.",152545327
"Lupinus albus",2964167,"SPECIES","ACCEPTED","Plantae","2964167: Lupinus albus L.",152545203
"Lupinus angustifolius",2964025,"SPECIES","ACCEPTED","Plantae","2964025: Lupinus angustifolius L.",152545201
"Lupinus luteus",2963817,"SPECIES","ACCEPTED","Plantae","2963817: Lupinus luteus L.",152545202
"Lupinus polyphyllus",2964355,"SPECIES","ACCEPTED","Plantae","2964355: Lupinus polyphyllus Lindl.",152545204
"Luzula nivea",2700768,"SPECIES","ACCEPTED","Plantae","2700768: Luzula nivea (L.) DC.",152547174
"Lycium barbarum",2928835,"SPECIES","ACCEPTED","Plantae","2928835: Lycium barbarum L.",152544974
"Lycium chinense",2928809,"SPECIES","ACCEPTED","Plantae","2928809: Lycium chinense Mill.",NA
"Lycopsis arvensis",8167990,"SUBSPECIES","ACCEPTED","Plantae","5662067: Anchusa ovata Lehm.",NA
"Lycopus exaltatus",NA,NA,NA,NA,NA,152545704
"Lysichiton americanus",2869311,"SPECIES","ACCEPTED","Plantae","2869311: Lysichiton americanus Hultén & H.St.John",152546580
"Lysimachia ciliata",3169391,"SPECIES","ACCEPTED","Plantae","3169391: Lysimachia ciliata L.",152545822
"Lysimachia fortunei",4005004,"SPECIES","ACCEPTED","Plantae","4005004: Lysimachia fortunei Maxim.",152545820
"Lysimachia monellii",7862391,"SPECIES","ACCEPTED","Plantae","3169306: Anagallis monellii L.",152545819
"Lysimachia punctata",3169340,"SPECIES","ACCEPTED","Plantae","3169340: Lysimachia punctata L.",152545823
"Lythrum junceum",3988701,"SPECIES","ACCEPTED","Plantae","3988701: Lythrum junceum Banks & Sol.",152543404
"Lythrum virgatum",3188735,"SPECIES","ACCEPTED","Plantae","3188735: Lythrum virgatum L.",152543405
"Macaroeris nidicolens",2169430,"SPECIES","ACCEPTED","Animalia","2169430: Macaroeris nidicolens (Walckenaer, 1802)",152544126
"Macleaya cordata",5334194,"SPECIES","ACCEPTED","Plantae","5334194: Macleaya cordata (Willd.) R.Br.",152546392
"Macrothele calpeiana",NA,NA,NA,NA,NA,152544257
"Magallana gigas",7820753,"SPECIES","ACCEPTED","Animalia","2286069: Crassostrea gigas (Thunberg, 1793) | 7820753: Magallana gigas (Thunberg, 1793)",156872991
"Mahonia aquifolium",3033865,"SPECIES","ACCEPTED","Plantae","3033868: Berberis aquifolium Pursh | 3033865: Mahonia aquifolium (Pursh) Nutt.",NA
"Maianthemum dilatatum",NA,NA,NA,NA,NA,152546701
"Maianthemum stellatum",2769493,"SPECIES","ACCEPTED","Plantae","2769493: Maianthemum stellatum (L.) Link | 2769495: Smilacina stellata (L.) Desf.",152546700
"Malacorhynchus membranaceus",5232435,"SPECIES","ACCEPTED","Animalia","5232435: Malacorhynchus membranaceus (Latham, 1802)",159746996
"Malcolmia maritima",7372514,"SPECIES","DOUBTFUL","Plantae","7372514: Malcolmia maritima (L.) R.Br.",152545325
"Malope malacoides",7278926,"SPECIES","ACCEPTED","Plantae","7278926: Malope malacoides L.",152546236
"Malope trifida",3935421,"SPECIES","ACCEPTED","Plantae","3935421: Malope trifida Cav.",152546237
"Malus baccata",NA,NA,NA,NA,NA,152544887
"Malus purpurea",NA,NA,NA,NA,NA,152544886
"Malus sieboldii",NA,NA,NA,NA,NA,152544885
"Malva clementii",NA,NA,NA,NA,NA,152546248
"Malva maroccana",NA,NA,NA,NA,NA,152546247
"Malva nicaeensis",3152367,"SPECIES","ACCEPTED","Plantae","3152367: Malva nicaeensis All.",152546254
"Malva parviflora",3152378,"SPECIES","ACCEPTED","Plantae","3152378: Malva parviflora L.",152546253
"Malva punctata",3940960,"SPECIES","ACCEPTED","Plantae","3940960: Malva punctata (All.) Alef.",NA
"Malva pusilla",3152372,"SPECIES","ACCEPTED","Plantae","3152372: Malva pusilla Sm.",152546251
"Malva thuringiaca",3940423,"SPECIES","ACCEPTED","Plantae","3152771: Lavatera thuringiaca L. | 9257133: Lavatera thuringiaca subsp. thuringiaca | 3940423: Malva thuringiaca (L.) Vis.",152546250
"Malva verticillata",3152377,"SPECIES","ACCEPTED","Plantae","3152377: Malva verticillata L. | 3152370: Malva verticillata var. crispa L.",152546252
"Malva ×clementii",8402586,"SPECIES","ACCEPTED","Plantae","8402586: Malva ×clementii (Cheek) Stace",NA
"Malvastrum americanum",3152264,"SPECIES","ACCEPTED","Plantae","3152264: Malvastrum americanum (L.) Torr.",152546244
"Malvastrum coromandelianum",3152268,"SPECIES","ACCEPTED","Plantae","3152268: Malvastrum coromandelianum (L.) Garcke",152546245
"Manihot grahamii",3060710,"SPECIES","ACCEPTED","Plantae","3060710: Manihot grahamii Hook.",152546433
"Marenzelleria neglecta",2321010,"SPECIES","ACCEPTED","Animalia","2321010: Marenzelleria neglecta Sikorski & Bick, 2004",152543725
"Marenzelleria viridis",2321012,"SPECIES","ACCEPTED","Animalia","2321012: Marenzelleria viridis (Verrill, 1873)",152543727
"Marionfyfea adventor",NA,NA,NA,NA,NA,152543184
"Marmaronetta angustirostris",2498390,"SPECIES","ACCEPTED","Animalia","2498390: Marmaronetta angustirostris (Ménétries, 1832)",152543214
"Massylaea vermiculata",NA,NA,NA,NA,NA,156872936
"Mastophorus",NA,NA,NA,NA,NA,152543820
"Matricaria aurea",NA,NA,NA,NA,NA,152544323
"Matricaria discoidea",3103791,"SPECIES","ACCEPTED","Plantae","3103791: Matricaria discoidea DC.",152544325
"Matthiola incana",8207952,"SPECIES","DOUBTFUL","Plantae","8207952: Matthiola incana (L.) R.Br.",152545319
"Mauranthemum paludosum",3096529,"SPECIES","ACCEPTED","Plantae","7452956: Leucanthemum paludosum (Poir.) Bonnet & Barratte | 3096529: Mauranthemum paludosum (Poir.) Vogt & Oberpr.",152544333
"Mazus pumilus",3171304,"SPECIES","ACCEPTED","Plantae","3171304: Mazus pumilus (Burm.fil.) Steenis",152545606
"Meconema meridionale",1690429,"SPECIES","ACCEPTED","Animalia","1690429: Meconema meridionale Costa, 1860",152544377
"Medicago carstiensis",2965232,"SPECIES","ACCEPTED","Plantae","2965232: Medicago carstiensis Wulfen",NA
"Medicago doliata",NA,NA,NA,NA,NA,152545209
"Medicago intertexta ciliaris",NA,NA,NA,NA,NA,152545224
"Medicago laciniata",2965221,"SPECIES","ACCEPTED","Plantae","2965221: Medicago laciniata (L.) Mill.",152545215
"Medicago littoralis",2965485,"SPECIES","ACCEPTED","Plantae","2965485: Medicago littoralis Rohde ex Loisel.",NA
"Medicago monantha",NA,NA,NA,NA,NA,152545216
"Medicago monspeliaca",2965434,"SPECIES","ACCEPTED","Plantae","2965434: Medicago monspeliaca (L.) Trautv. | 5357345: Trigonella monspeliaca L.",152545222
"Medicago orbicularis",2965299,"SPECIES","ACCEPTED","Plantae","2965299: Medicago orbicularis (L.) Bartal.",NA
"Medicago polymorpha",2965531,"SPECIES","ACCEPTED","Plantae","2965531: Medicago polymorpha L.",152545207
"Medicago praecox",NA,NA,NA,NA,NA,152545221
"Medicago rigidula",2965438,"SPECIES","ACCEPTED","Plantae","2965438: Medicago rigidula (L.) All.",152545208
"Medicago sativa",9151957,"SPECIES","ACCEPTED","Plantae","9151957: Medicago sativa L.",152545206
"Medicago scutellata",2965397,"SPECIES","ACCEPTED","Plantae","2965397: Medicago scutellata (L.) Mill.",152545218
"Medicago truncatula",2965280,"SPECIES","ACCEPTED","Plantae","2965280: Medicago truncatula Gaertn.",152545220
"Medicago ×varia",2965331,"SPECIES","ACCEPTED","Plantae","2965331: Medicago ×varia Martyn | 11395396: Medicago falcata var. sativa Schur | 2965344: Medicago sativa subsp. ambigua (Trautv.) Tutin",NA
"Megabalanus coccopoma",NA,NA,NA,NA,NA,152544023
"Megabalanus tintinnabulum",5166487,"SPECIES","ACCEPTED","Animalia","2115692: Balanus tintinnabulum (Linnaeus, 1758)",NA
"Melampodium montanum",3139003,"SPECIES","ACCEPTED","Plantae","3139003: Melampodium montanum Benth.",152543888
"Melampodium perfoliatum",3138953,"SPECIES","ACCEPTED","Plantae","3138953: Melampodium perfoliatum (Cav.) Kunth",152543890
"Melampsoridium betulinum",2516809,"SPECIES","ACCEPTED","Fungi","2516809: Melampsoridium betulinum (Pers.) Kleb.",152543152
"Melampyrum nemorosum",7331666,"SPECIES","ACCEPTED","Plantae","7331666: Melampyrum nemorosum L.",152545563
"Meleagris gallopavo",9606290,"SPECIES","ACCEPTED","Animalia","9606290: Meleagris gallopavo Linnaeus, 1758",159747515
"Melia azedarach",5914287,"SPECIES","ACCEPTED","Plantae","5914287: Melia azedarach L.",152543292
"Melica altissima",2703109,"SPECIES","ACCEPTED","Plantae","2703109: Melica altissima L.",NA
"Melilotus albus",2971095,"SPECIES","ACCEPTED","Plantae","2971095: Melilotus albus Medik. | 9616723: Trigonella alba (Medik.) Coulot & Rabaute",152545154
"Melilotus elegans",2971036,"SPECIES","ACCEPTED","Plantae","2971036: Melilotus elegans Salzm. ex Ser.",NA
"Melilotus indicus",2971016,"SPECIES","ACCEPTED","Plantae","2971016: Melilotus indicus (L.) All. | 7592856: Trigonella smallii Coulot & Rabaute",152545157
"Melilotus infestus",2971033,"SPECIES","ACCEPTED","Plantae","2971033: Melilotus infestus Guss.",152545158
"Melilotus messanensis",NA,NA,NA,NA,NA,152545155
"Melilotus officinalis",8193111,"SPECIES","ACCEPTED","Plantae","8193111: Melilotus officinalis (L.) Lam. | 7520471: Trigonella officinalis (L.) Coulot & Rabaute",NA
"Melilotus sulcatus",2971112,"SPECIES","ACCEPTED","Plantae","2971112: Melilotus sulcatus Desf.",NA
"Melilotus wolgicus",NA,NA,NA,NA,NA,152545160
"Melissa officinalis",5341501,"SPECIES","ACCEPTED","Plantae","5341501: Melissa officinalis L.",152545714
"Melita nitida",2215949,"SPECIES","ACCEPTED","Animalia","2215949: Melita nitida S.I.Smith, 1873",152543999
"Meloidogyne artiellia",NA,NA,NA,NA,NA,152543814
"Melopsittacus undulatus",2479798,"SPECIES","ACCEPTED","Animalia","2479798: Melopsittacus undulatus (Shaw, 1805)",159747419
"Melospiza melodia",2492196,"SPECIES","ACCEPTED","Animalia","2492196: Melospiza melodia (A.Wilson, 1810)",159747277
"Menetus dilatatus",5189713,"SPECIES","ACCEPTED","Animalia","5189713: Menetus dilatatus (A.Gould, 1841)",152543565
"Mentha cervina",3902360,"SPECIES","ACCEPTED","Plantae","3902360: Mentha cervina L.",152545747
"Mentha requienii",2927174,"SPECIES","ACCEPTED","Plantae","2927174: Mentha requienii Benth.",152545748
"Mephitis mephitis",5219380,"SPECIES","ACCEPTED","Animalia","5219380: Mephitis mephitis (Schreber, 1776)",152543323
"Meriones unguiculatus",5219721,"SPECIES","ACCEPTED","Animalia","5219721: Meriones unguiculatus (Milne-Edwards, 1867)",152543289
"Mermessus denticulatus",NA,NA,NA,NA,NA,152544238
"Mesembryanthemum crystallinum",3084839,"SPECIES","ACCEPTED","Plantae","3084839: Mesembryanthemum crystallinum L.",152546024
"Mesembryanthemum nodiflorum",3084837,"SPECIES","ACCEPTED","Plantae","3084837: Mesembryanthemum nodiflorum L.",NA
"Mespilus germanica",3031774,"SPECIES","ACCEPTED","Plantae","3031774: Mespilus germanica L. | 3015106: Crataegus germanica (L.) Kuntze",152544857
"Micropholcus fauroti",2149761,"SPECIES","ACCEPTED","Animalia","2149761: Micropholcus fauroti (Simon, 1887)",152544205
"Micropogonias undulatus",NA,NA,NA,NA,NA,159747656
"Milax gagates",2297108,"SPECIES","ACCEPTED","Animalia","2297108: Milax gagates (Draparnaud, 1801)",152543641
"Milium vernale",NA,NA,NA,NA,NA,152547110
"Mimulus ringens",6070732,"SPECIES","ACCEPTED","Plantae","6070732: Mimulus ringens L.",NA
"Mirabilis jalapa",3086240,"SPECIES","ACCEPTED","Plantae","3086240: Mirabilis jalapa L.",152546093
"Miscanthus sinensis",2706026,"SPECIES","ACCEPTED","Plantae","2706026: Miscanthus sinensis Andersson",152547144
"Misgurnus anguillicaudatus",2367919,"SPECIES","ACCEPTED","Animalia","2367919: Misgurnus anguillicaudatus (Cantor, 1842)",NA
"Misopates calycinum",3738796,"SPECIES","ACCEPTED","Plantae","3738796: Misopates calycinum (Vent.) Rothm.",NA
"Mnemiopsis leidyi",2501248,"SPECIES","ACCEPTED","Animalia","2501248: Mnemiopsis leidyi A.Agassiz, 1865",159746903
"Modiola caroliniana",8338793,"SPECIES","ACCEPTED","Plantae","8338793: Modiola caroliniana (L.) G.Don",152546220
"Molgula manhattensis",2331498,"SPECIES","ACCEPTED","Animalia","2331498: Molgula manhattensis (De Kay, 1843)",NA
"Mollugo verticillata",3084611,"SPECIES","ACCEPTED","Plantae","3084611: Mollugo verticillata L.",152546000
"Monarda didyma",5341407,"SPECIES","ACCEPTED","Plantae","5341407: Monarda didyma L.",NA
"Moneses uniflora",2888298,"SPECIES","ACCEPTED","Plantae","2888298: Moneses uniflora (L.) A.Gray",152545865
"Monocorophium sextonae",4314702,"SPECIES","ACCEPTED","Animalia","4314702: Monocorophium sextonae (Crawford, 1937) | 7621724: Corophium sextonae Crawford, 1937",152543942
"Monomorium pharaonis",1314773,"SPECIES","ACCEPTED","Animalia","1314773: Monomorium pharaonis (Linnaeus, 1758)",NA
"Monopylephorus limosus",NA,NA,NA,NA,NA,152543671
"Moricandia arvensis",5376035,"SPECIES","ACCEPTED","Plantae","5376035: Moricandia arvensis (L.) DC.",152545374
"Morus alba",5361889,"SPECIES","ACCEPTED","Plantae","5361889: Morus alba L.",152544742
"Morus nigra",5361888,"SPECIES","ACCEPTED","Plantae","5361888: Morus nigra L.",152544741
"Muehlenbeckia complexa",2888859,"SPECIES","ACCEPTED","Plantae","2888859: Muehlenbeckia complexa (A.Cunn.) Meisn.",152546132
"Muhlenbergia mexicana",2704038,"SPECIES","ACCEPTED","Plantae","2704038: Muhlenbergia mexicana (L.) Trin.",152546976
"Mulinia lateralis",2286388,"SPECIES","ACCEPTED","Animalia","2286388: Mulinia lateralis (Say, 1822)",NA
"Muntiacus reevesi",2440946,"SPECIES","ACCEPTED","Animalia","2440946: Muntiacus reevesi (Ogilby, 1839)",152543264
"Musa basjoo",2762737,"SPECIES","ACCEPTED","Plantae","2762737: Musa basjoo Siebold & Zucc. ex Iinuma",NA
"Muscari armeniacum",2772174,"SPECIES","DOUBTFUL","Plantae","2772174: Muscari armeniacum Leichtlin ex Baker",152546707
"Muscari latifolium",2772082,"SPECIES","ACCEPTED","Plantae","2772082: Muscari latifolium J.Kirk",152546708
"Mustela vison",5218823,"SPECIES","ACCEPTED","Animalia","2433652: Neovison vison (Schreber, 1777)",NA
"Myagrum perfoliatum",3047811,"SPECIES","ACCEPTED","Plantae","3047811: Myagrum perfoliatum L.",152545458
"Mycerobas icterioides",2494408,"SPECIES","ACCEPTED","Animalia","2494408: Mycerobas icterioides (Vigors, 1830)",159747209
"Mycteria ibis",2481936,"SPECIES","ACCEPTED","Animalia","2481936: Mycteria ibis (Linnaeus, 1766)",159747357
"Myiopsitta monachus",2479407,"SPECIES","ACCEPTED","Animalia","2479407: Myiopsitta monachus (Boddaert, 1783)",159747381
"Myocastor coypus",4264680,"SPECIES","ACCEPTED","Animalia","4264680: Myocastor coypus (Molina, 1782)",152543273
"Myosotis alpestris",5341187,"SPECIES","ACCEPTED","Plantae","5341187: Myosotis alpestris F.W.Schmidt",152545503
"Myriophyllum aquaticum",5361785,"SPECIES","ACCEPTED","Plantae","5361785: Myriophyllum aquaticum (Vell.) Verdc.",152544667
"Myriophyllum heterophyllum",5361762,"SPECIES","ACCEPTED","Plantae","5361762: Myriophyllum heterophyllum Michx.",152544666
"Myrrhis odorata",3034681,"SPECIES","ACCEPTED","Plantae","3034681: Myrrhis odorata (L.) Scop.",152544586
"Mytilicola intestinalis",NA,NA,NA,NA,NA,159748101
"Mytilopsis leucophaeata",2287076,"SPECIES","ACCEPTED","Animalia","2287076: Mytilopsis leucophaeata (Conrad, 1831) | 5728957: Congeria cochleata (Nyst, 1835)",NA
"Nagurus cristatus",NA,NA,NA,NA,NA,152543918
"Nandayus nenday",NA,NA,NA,NA,NA,159747407
"Narcissus cyclazetta",NA,NA,NA,NA,NA,152546659
"Narcissus poeticus",2858581,"SPECIES","ACCEPTED","Plantae","2858581: Narcissus poeticus L.",152546660
"Narcissus tazetta",2858963,"SPECIES","ACCEPTED","Plantae","2858963: Narcissus tazetta L.",NA
"Nassella formicarum",NA,NA,NA,NA,NA,152546867
"Nassella neesiana",NA,NA,NA,NA,NA,152546869
"Nassella tenuissima",5289833,"SPECIES","ACCEPTED","Plantae","2703611: Stipa tenuissima Trin. | 5289833: Nassella tenuissima (Trin.) Barkworth",152546868
"Nasua nasua",2433536,"SPECIES","ACCEPTED","Animalia","2433536: Nasua nasua (Linnaeus, 1766)",152543332
"Natrix helvetica",9350124,"SPECIES","ACCEPTED","Animalia","5223511: Natrix natrix helvetica Lacépède, 1789 | 11213766: Natrix helvetica helvetica | 9350124: Natrix helvetica (Lacépède, 1789)",152543147
"Natrix maura",6161340,"SPECIES","ACCEPTED","Animalia","6161340: Natrix maura (Linnaeus, 1758)",NA
"Natrix tessellata",6161327,"SPECIES","ACCEPTED","Animalia","6161327: Natrix tessellata (Laurenti, 1768)",NA
"Navarretia squarrosa",2927684,"SPECIES","ACCEPTED","Plantae","2927684: Navarretia squarrosa (Eschsch.) Hook. & Arn.",152545839
"Neillia incisa",3853033,"SPECIES","ACCEPTED","Plantae","2987953: Stephanandra incisa (Thunb.) Zabel | 3853033: Neillia incisa (Thunb.) S.H.Oh",152544924
"Neillia tanakae",2987948,"SPECIES","ACCEPTED","Plantae","2987946: Stephanandra tanakae Franch. & Sav. | 10935457: Neillia tanakae (Franch. & Sav.) Franch. & Sav. ex S.H.Oh",152544925
"Nemophila maculata",2928034,"SPECIES","ACCEPTED","Plantae","2928034: Nemophila maculata Benth. ex Lindl.",152545487
"Nemophila menziesii menziesii",NA,NA,NA,NA,NA,152545486
"Nemopsis bachei",2266561,"SPECIES","ACCEPTED","Animalia","2266561: Nemopsis bachei L.Agassiz, 1849",159747966
"Neochmia ruficauda",2493739,"SPECIES","ACCEPTED","Animalia","10920460: Bathilda ruficauda (Gould, 1837)",159747307
"Neogobius fluviatilis",2379105,"SPECIES","ACCEPTED","Animalia","2379105: Neogobius fluviatilis (Pallas, 1814)",152543432
"Neogobius melanostomus",2379089,"SPECIES","ACCEPTED","Animalia","2379089: Neogobius melanostomus (Pallas, 1814)",152543430
"Neoscona nautica",NA,NA,NA,NA,NA,152544093
"Neovison vison",NA,NA,NA,NA,NA,154367328
"Nepeta faassenii",7350989,"SPECIES","ACCEPTED","Plantae","7350989: Nepeta faassenii Bergmans ex Stearn",152545716
"Nepeta grandiflora",NA,NA,NA,NA,NA,152545717
"Nepeta racemosa",5341497,"SPECIES","ACCEPTED","Plantae","5341497: Nepeta racemosa Lam. | 5341500: Nepeta mussinii Spreng. ex Henckel",152545718
"Nephila",NA,NA,NA,NA,NA,152544089
"Neslia paniculata",7225621,"SUBSPECIES","ACCEPTED","Plantae","7225621: Neslia paniculata subsp. paniculata",NA
"Neslia paniculata paniculata",NA,NA,NA,NA,NA,152545323
"Nesticodes rufipes",NA,NA,NA,NA,NA,152544141
"Netta peposaca",2498181,"SPECIES","ACCEPTED","Animalia","2498181: Netta peposaca (Vieillot, 1816)",159747047
"Nettapus auritus",2498313,"SPECIES","ACCEPTED","Animalia","2498313: Nettapus auritus (Boddaert, 1783)",159747056
"Nettapus coromandelianus",2498310,"SPECIES","ACCEPTED","Animalia","2498310: Nettapus coromandelianus (Gmelin, 1789)",159747054
"Neuroctenus lestoni",NA,NA,NA,NA,NA,152544265
"Nicandra physalodes",5341754,"SPECIES","ACCEPTED","Plantae","5341754: Nicandra physalodes (L.) Gaertn.",152544958
"Nicoletia phytophila",NA,NA,NA,NA,NA,152544386
"Nicotiana alata",2928761,"SPECIES","ACCEPTED","Plantae","2928761: Nicotiana alata Link & Otto",152544967
"Nicotiana forgetiana",2928779,"SPECIES","ACCEPTED","Plantae","2928779: Nicotiana forgetiana Hort.Sand. ex Hemsl.",152544964
"Nicotiana glauca",2928783,"SPECIES","ACCEPTED","Plantae","2928783: Nicotiana glauca Graham",152544962
"Nicotiana langsdorffii",2928759,"SPECIES","DOUBTFUL","Plantae","2928759: Nicotiana langsdorffii Weinm.",NA
"Nicotiana rustica",2928775,"SPECIES","ACCEPTED","Plantae","2928775: Nicotiana rustica L.",152544963
"Nicotiana sylvestris",2928767,"SPECIES","ACCEPTED","Plantae","2928767: Nicotiana sylvestris Speg.",152544965
"Nicotiana tabacum",2928774,"SPECIES","ACCEPTED","Plantae","2928774: Nicotiana tabacum L.",152544966
"Nigella damascena",5371702,"SPECIES","ACCEPTED","Plantae","5371702: Nigella damascena L.",152546327
"Nigella sativa",5371700,"SPECIES","ACCEPTED","Plantae","5371700: Nigella sativa L.",152546328
"Ninox connivens",NA,NA,NA,NA,NA,159746977
"Nolavia",NA,NA,NA,NA,NA,152544084
"Nonea lutea",2926042,"SPECIES","ACCEPTED","Plantae","2926042: Nonea lutea (Desr.) DC.",152545523
"Notobasis syriaca",3122323,"SPECIES","ACCEPTED","Plantae","3122323: Notobasis syriaca (L.) Cass.",NA
"Numida meleagris",2473341,"SPECIES","ACCEPTED","Animalia","2473341: Numida meleagris (Linnaeus, 1758)",159747511
"Nyctereutes procyonoides",2434552,"SPECIES","ACCEPTED","Animalia","2434552: Nyctereutes procyonoides (Gray, 1834)",152543341
"Nymphaea marliacea",NA,NA,NA,NA,NA,152545876
"Nymphaea ×marliacea",7802465,"SPECIES","ACCEPTED","Plantae","7802465: Nymphaea ×marliacea hort. ex Lat.-Marl.",NA
"Nymphicus hollandicus",2479977,"SPECIES","ACCEPTED","Animalia","2479977: Nymphicus hollandicus (Kerr, 1792)",159747391
"Nysius huttoni",4486365,"SPECIES","ACCEPTED","Animalia","4486365: Nysius huttoni White, 1878",152544283
"Obama nungara",8701771,"SPECIES","ACCEPTED","Animalia","8701771: Obama nungara Carbayo, Alvarez-Presas, Jones & Riutort, 2016",NA
"Ocimum basilicum",2927096,"SPECIES","ACCEPTED","Plantae","2927096: Ocimum basilicum L.",NA
"Ocyphaps lophotes",2495190,"SPECIES","ACCEPTED","Animalia","2495190: Ocyphaps lophotes (Temminck, 1822)",159746950
"Odontites jaubertianus",7564934,"SPECIES","ACCEPTED","Plantae","7564934: Odontites jaubertianus (Boreau) D.Dietr. ex Walp.",152545555
"Odontites luteus",7855120,"SPECIES","ACCEPTED","Plantae","7855120: Odontites luteus (L.) Clairv.",152545556
"Oecobius amboseli",NA,NA,NA,NA,NA,152544075
"Oecobius navus",2162537,"SPECIES","ACCEPTED","Animalia","2162537: Oecobius navus Blackwall, 1859",152544076
"Oena capensis",NA,NA,NA,NA,NA,159746953
"Oenanthe pimpinelloides",5371889,"SPECIES","ACCEPTED","Plantae","5371889: Oenanthe pimpinelloides L.",152544532
"Oenothera angustissima",3188889,"SPECIES","ACCEPTED","Plantae","3188889: Oenothera angustissima R.R.Gates",NA
"Oenothera biennis",3188924,"SPECIES","ACCEPTED","Plantae","3188924: Oenothera biennis L.",152543486
"Oenothera cambrica",7322292,"SPECIES","ACCEPTED","Plantae","7322292: Oenothera cambrica Rostanski",152543447
"Oenothera canovirens",6427797,"SPECIES","ACCEPTED","Plantae","6427797: Oenothera canovirens Steele",152543442
"Oenothera casimiri",3664287,"SPECIES","ACCEPTED","Plantae","3664287: Oenothera casimiri Rostanski",152543469
"Oenothera curtiflora",NA,NA,NA,NA,NA,152543458
"Oenothera deflexa",7322773,"SPECIES","ACCEPTED","Plantae","7322773: Oenothera deflexa R.R.Gates",152543448
"Oenothera drawertii",3667007,"SPECIES","ACCEPTED","Plantae","3667007: Oenothera drawertii Renner ex Rostanski",NA
"Oenothera elata",3188829,"SPECIES","ACCEPTED","Plantae","3188829: Oenothera elata Kunth",159748065
"Oenothera ersteinensis",3666776,"SPECIES","ACCEPTED","Plantae","3666776: Oenothera ersteinensis Linder & R.Jean",NA
"Oenothera fallax",7915783,"SPECIES","ACCEPTED","Plantae","7915783: Oenothera fallax Renner",152543437
"Oenothera fruticosa glauca",NA,NA,NA,NA,NA,152543456
"Oenothera glazioviana",3188894,"SPECIES","ACCEPTED","Plantae","3188894: Oenothera glazioviana Micheli | 7440977: Oenothera glazioviana var. azorica Rostański | 7322569: Oenothera glazioviana f. glazioviana | 3188895: Oenothera erythrosepala (Borbás) Borbás",152543487
"Oenothera issleri",NA,NA,NA,NA,NA,152543454
"Oenothera laciniata",NA,NA,NA,NA,NA,152543478
"Oenothera lindheimeri",3664589,"SPECIES","ACCEPTED","Plantae","3664589: Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch | 3189268: Gaura lindheimeri Engelm. & Gray",152543471
"Oenothera moravica",3663772,"SPECIES","ACCEPTED","Plantae","3663772: Oenothera moravica V.Jehlík & Rostanski",152543473
"Oenothera oakesiana",3188884,"SPECIES","ACCEPTED","Plantae","3188884: Oenothera oakesiana (A.Gray) S.Watson",152543482
"Oenothera oehlkersii",8153538,"SPECIES","ACCEPTED","Plantae","8153538: Oenothera oehlkersii Kappus",152543438
"Oenothera paradoxa",3667238,"SPECIES","ACCEPTED","Plantae","3667238: Oenothera paradoxa Hudziok",152543459
"Oenothera parviflora",8994150,"SPECIES","ACCEPTED","Plantae","8994150: Oenothera parviflora L.",152543434
"Oenothera perangusta",NA,NA,NA,NA,NA,152543449
